time,waist_pos,waist_vel,waist_effort,shoulder_pos,shoulder_vel,shoulder_effort,elbow_pos,elbow_vel,elbow_effort,forearm_roll_pos,forearm_roll_vel,forearm_roll_effort,wrist_angle_pos,wrist_angle_vel,wrist_angle_effort,wrist_rotate_pos,wrist_rotate_vel,wrist_rotate_effort,gripper_pos,gripper_vel,gripper_effort,left_finger_pos,left_finger_vel,left_finger_effort,right_finger_pos,right_finger_vel,right_finger_effort
1770128728.4880877,0.0015339808305725455,0.0,-2.690000057220459,-1.859184741973877,0.0,182.9199981689453,1.5600584745407104,0.0,-255.5500030517578,-0.003067961661145091,0.0,43.040000915527344,0.8022719621658325,0.0,-45.72999954223633,0.0,0.0,-2.690000057220459,3.1293208599090576,0.0,621.3900146484375,0.02876686118543148,0.0,0.0,-0.02876686118543148,0.0,0.0
1770128728.508401,0.0015339808305725455,0.0,-2.690000057220459,-1.859184741973877,0.0,182.9199981689453,1.5600584745407104,0.0,-255.5500030517578,-0.003067961661145091,0.0,43.040000915527344,0.8022719621658325,0.0,-45.72999954223633,0.0,0.0,-2.690000057220459,3.1293208599090576,0.0,621.3900146484375,0.02876686118543148,0.0,0.0,-0.02876686118543148,0.0,0.0
1770128728.5288267,0.0015339808305725455,0.0,-2.690000057220459,-1.859184741973877,0.0,182.9199981689453,1.5600584745407104,0.0,-255.5500030517578,-0.003067961661145091,0.0,43.040000915527344,0.8022719621658325,0.0,-45.72999954223633,0.0,0.0,-2.690000057220459,3.1293208599090576,0.0,621.3900146484375,0.02876686118543148,0.0,0.0,-0.02876686118543148,0.0,0.0
1770128728.5492687,0.0015339808305725455,0.0,-2.690000057220459,-1.859184741973877,0.0,182.9199981689453,1.5600584745407104,0.0,-255.5500030517578,-0.003067961661145091,0.0,43.040000915527344,0.8022719621658325,0.0,-45.72999954223633,0.0,0.0,-2.690000057220459,3.1293208599090576,0.0,621.3900146484375,0.02876686118543148,0.0,0.0,-0.02876686118543148,0.0,0.0
1770128728.569657,0.0015339808305725455,0.0,-2.690000057220459,-1.859184741973877,0.0,182.9199981689453,1.5600584745407104,0.0,-255.5500030517578,-0.003067961661145091,0.0,43.040000915527344,0.8022719621658325,0.0,-45.72999954223633,0.0,0.0,-2.690000057220459,3.1293208599090576,0.0,621.3900146484375,0.02876686118543148,0.0,0.0,-0.02876686118543148,0.0,0.0
1770128728.5900548,0.0015339808305725455,0.0,-2.690000057220459,-1.859184741973877,0.0,182.9199981689453,1.5600584745407104,0.0,-255.5500030517578,-0.003067961661145091,0.0,43.040000915527344,0.8022719621658325,0.0,-45.72999954223633,0.0,0.0,-2.690000057220459,3.1293208599090576,0.0,621.3900146484375,0.02876686118543148,0.0,0.0,-0.02876686118543148,0.0,0.0
1770128728.6105776,0.0015339808305725455,0.0,-2.690000057220459,-1.859184741973877,0.0,182.9199981689453,1.5600584745407104,0.0,-255.5500030517578,-0.003067961661145091,0.0,43.040000915527344,0.8022719621658325,0.0,-45.72999954223633,0.0,0.0,-2.690000057220459,3.1293208599090576,0.0,621.3900146484375,0.02876686118543148,0.0,0.0,-0.02876686118543148,0.0,0.0
1770128728.631243,0.0015339808305725455,0.0,-2.690000057220459,-1.859184741973877,0.0,182.9199981689453,1.5600584745407104,0.0,-255.5500030517578,-0.003067961661145091,0.0,43.040000915527344,0.8022719621658325,0.0,-45.72999954223633,0.0,0.0,-2.690000057220459,3.1293208599090576,0.0,621.3900146484375,0.02876686118543148,0.0,0.0,-0.02876686118543148,0.0,0.0
1770128728.6516976,0.0015339808305725455,0.0,-2.690000057220459,-1.859184741973877,0.0,182.9199981689453,1.5600584745407104,0.0,-255.5500030517578,-0.003067961661145091,0.0,43.040000915527344,0.8022719621658325,0.0,-45.72999954223633,0.0,0.0,-2.690000057220459,3.1293208599090576,0.0,621.3900146484375,0.02876686118543148,0.0,0.0,-0.02876686118543148,0.0,0.0
1770128728.6720412,0.0015339808305725455,0.0,-2.690000057220459,-1.859184741973877,0.0,182.9199981689453,1.5600584745407104,0.0,-255.5500030517578,-0.003067961661145091,0.0,43.040000915527344,0.8022719621658325,0.0,-45.72999954223633,0.0,0.0,-2.690000057220459,3.1293208599090576,0.0,621.3900146484375,0.02876686118543148,0.0,0.0,-0.02876686118543148,0.0,0.0
1770128728.6924639,0.0015339808305725455,0.0,-2.690000057220459,-1.859184741973877,0.0,182.9199981689453,1.5600584745407104,0.0,-255.5500030517578,-0.003067961661145091,0.0,43.040000915527344,0.8022719621658325,0.0,-45.72999954223633,0.0,0.0,-2.690000057220459,3.1293208599090576,0.0,621.3900146484375,0.02876686118543148,0.0,0.0,-0.02876686118543148,0.0,0.0
