time,waist_pos,waist_vel,waist_effort,shoulder_pos,shoulder_vel,shoulder_effort,elbow_pos,elbow_vel,elbow_effort,forearm_roll_pos,forearm_roll_vel,forearm_roll_effort,wrist_angle_pos,wrist_angle_vel,wrist_angle_effort,wrist_rotate_pos,wrist_rotate_vel,wrist_rotate_effort,left_finger_pos,left_finger_vel,left_finger_effort,right_finger_pos,right_finger_vel,right_finger_effort,recv_time
0.000000,-0.04908738657832146,0.0,0.0,-0.1395922601222992,0.0,-352.3900146484375,0.07363107800483704,0.0,-419.6400146484375,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.000000
0.005042,-0.04908738657832146,0.0,-13.450000762939453,-0.1395922601222992,0.0,-352.3900146484375,0.07363107800483704,0.0,-416.95001220703125,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.000675
0.010031,-0.04908738657832146,0.0,-5.380000114440918,-0.1395922601222992,0.0,-344.32000732421875,0.07363107800483704,0.0,-433.0899963378906,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.000913
0.015026,-0.04908738657832146,0.0,-2.690000057220459,-0.13805827498435974,0.0,-357.77001953125,0.07363107800483704,0.0,-422.33001708984375,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.02822691574692726,0.0,0.0,-0.02822691574692726,0.0,0.0,0.001388
0.020005,-0.04908738657832146,0.0,-2.690000057220459,-0.13805827498435974,0.0,-360.46002197265625,0.07363107800483704,0.0,-419.6400146484375,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.006445
0.025019,-0.04908738657832146,0.0,-2.690000057220459,-0.13805827498435974,0.0,-355.08001708984375,0.07363107800483704,0.0,-416.95001220703125,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.011680
0.030009,-0.04908738657832146,0.0,-2.690000057220459,-0.13805827498435974,0.0,-357.77001953125,0.07363107800483704,0.0,-416.95001220703125,0.0015339808305725455,0.0,0.0,1.2241166830062866,0.0,-40.35000228881836,0.16873788833618164,0.0,-5.380000114440918,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.016554
0.034989,-0.04908738657832146,0.0,-2.690000057220459,-0.13805827498435974,0.0,-363.1499938964844,0.07363107800483704,0.0,-416.95001220703125,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.021416
0.040034,-0.04908738657832146,0.0,-2.690000057220459,-0.13805827498435974,0.0,-357.77001953125,0.07363107800483704,0.0,-419.6400146484375,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.026685
0.045004,-0.04908738657832146,0.0,0.0,-0.1395922601222992,0.0,-360.46002197265625,0.07363107800483704,0.0,-416.95001220703125,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.031476
0.050021,-0.04908738657832146,0.0,0.0,-0.1395922601222992,0.0,-365.8399963378906,0.07363107800483704,0.0,-419.6400146484375,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.036502
0.055092,-0.04908738657832146,0.0,0.0,-0.1395922601222992,0.0,-355.08001708984375,0.07363107800483704,0.0,-435.7799987792969,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.042054
0.060139,-0.04908738657832146,0.0,0.0,-0.1395922601222992,0.0,-352.3900146484375,0.07363107800483704,0.0,-416.95001220703125,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-34.970001220703125,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.047242
0.065099,-0.04908738657832146,0.0,0.0,-0.13805827498435974,0.0,-344.32000732421875,0.07363107800483704,0.0,-419.6400146484375,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.052283
0.070338,-0.04908738657832146,0.0,0.0,-0.13805827498435974,0.0,-365.8399963378906,0.07516506314277649,0.0,-422.33001708984375,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.057551
0.075041,-0.04908738657832146,0.0,0.0,-0.1395922601222992,0.0,-365.8399963378906,0.07363107800483704,0.0,-427.71002197265625,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.061900
0.080108,-0.04908738657832146,0.0,0.0,-0.13805827498435974,0.0,-344.32000732421875,0.07363107800483704,0.0,-422.33001708984375,0.0,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.067004
0.085033,-0.04908738657832146,0.0,0.0,-0.1395922601222992,0.0,-355.08001708984375,0.07516506314277649,0.0,-416.95001220703125,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.072429
0.090052,-0.04908738657832146,0.0,0.0,-0.1395922601222992,0.0,-360.46002197265625,0.07363107800483704,0.0,-425.02001953125,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.1702718734741211,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.076776
0.095091,-0.04908738657832146,0.0,0.0,-0.13805827498435974,0.0,-349.70001220703125,0.07516506314277649,0.0,-416.95001220703125,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-34.970001220703125,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.082225
0.100196,-0.04908738657832146,0.0,0.0,-0.13805827498435974,0.0,-357.77001953125,0.07363107800483704,0.0,-422.33001708984375,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.02822691574692726,0.0,0.0,-0.02822691574692726,0.0,0.0,0.086897
0.105074,-0.04908738657832146,0.0,0.0,-0.13805827498435974,0.0,-341.6300048828125,0.07363107800483704,0.0,-419.6400146484375,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.091862
0.110016,-0.04908738657832146,0.0,0.0,-0.13805827498435974,0.0,-347.010009765625,0.07363107800483704,0.0,-416.95001220703125,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.02822691574692726,0.0,0.0,-0.02822691574692726,0.0,0.0,0.096725
0.115088,-0.04908738657832146,0.0,0.0,-0.13805827498435974,0.0,-357.77001953125,0.07363107800483704,0.0,-416.95001220703125,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.101844
0.120165,-0.04908738657832146,0.0,0.0,-0.13805827498435974,0.0,-349.70001220703125,0.07363107800483704,0.0,-416.95001220703125,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.107492
0.125051,-0.04908738657832146,0.0,0.0,-0.1395922601222992,0.0,-360.46002197265625,0.07363107800483704,0.0,-427.71002197265625,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.111857
0.129983,-0.04908738657832146,0.0,0.0,-0.1395922601222992,0.0,-352.3900146484375,0.07363107800483704,0.0,-419.6400146484375,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.116559
0.135162,-0.04908738657832146,0.0,0.0,-0.1395922601222992,0.0,-355.08001708984375,0.07516506314277649,0.0,-425.02001953125,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.028193511068820953,0.0,0.0,-0.028193511068820953,0.0,0.0,0.122568
0.139994,-0.04908738657832146,0.0,0.0,-0.1395922601222992,0.0,-352.3900146484375,0.07363107800483704,0.0,-425.02001953125,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.02822691574692726,0.0,0.0,-0.02822691574692726,0.0,0.0,0.126631
0.145016,-0.04908738657832146,0.0,-5.380000114440918,-0.1395922601222992,0.0,-357.77001953125,0.07363107800483704,0.0,-419.6400146484375,0.0015339808305725455,0.0,0.0,1.225650668144226,0.0,-40.35000228881836,0.16873788833618164,0.0,-2.690000057220459,0.02822691574692726,0.0,0.0,-0.02822691574692726,0.0,0.0,0.131546
