time,waist_pos,waist_vel,waist_effort,shoulder_pos,shoulder_vel,shoulder_effort,elbow_pos,elbow_vel,elbow_effort,forearm_roll_pos,forearm_roll_vel,forearm_roll_effort,wrist_angle_pos,wrist_angle_vel,wrist_angle_effort,wrist_rotate_pos,wrist_rotate_vel,wrist_rotate_effort,left_finger_pos,left_finger_vel,left_finger_effort,right_finger_pos,right_finger_vel,right_finger_effort
0.000000,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,387.3600158691406,0.07363107800483704,0.0,-37.65999984741211,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.020958,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-37.65999984741211,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.043104,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-37.65999984741211,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.064355,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-653.6700439453125,-0.575242817401886,0.0,392.7400207519531,0.07363107800483704,0.0,-37.65999984741211,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.086235,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-166.77999877929688,0.3942330777645111,0.0,-656.3599853515625,-0.575242817401886,0.0,392.7400207519531,0.07363107800483704,0.0,-37.65999984741211,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.108279,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-650.9800415039062,-0.575242817401886,0.0,392.7400207519531,0.07363107800483704,0.0,-37.65999984741211,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.129825,-0.6948933005332947,0.0,-5.380000114440918,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-650.9800415039062,-0.575242817401886,0.0,392.7400207519531,0.07363107800483704,0.0,-37.65999984741211,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.151405,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-650.9800415039062,-0.575242817401886,0.0,392.7400207519531,0.07363107800483704,0.0,-37.65999984741211,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.173217,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,392.7400207519531,0.07363107800483704,0.0,-37.65999984741211,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.194589,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,392.7400207519531,0.07363107800483704,0.0,-37.65999984741211,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.216128,-0.6948933005332947,0.0,-2.690000057220459,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,395.4300231933594,0.07363107800483704,0.0,-37.65999984741211,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.236372,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,395.4300231933594,0.07363107800483704,0.0,-37.65999984741211,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.256039,-0.6948933005332947,0.0,-5.380000114440918,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,395.4300231933594,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.276253,-0.6948933005332947,0.0,-2.690000057220459,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,395.4300231933594,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.296060,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,395.4300231933594,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.316094,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.336134,-0.6948933005332947,0.0,-18.829999923706055,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8114758729934692,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.356340,-0.6948933005332947,0.0,-10.760000228881836,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.376350,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.396394,-0.6948933005332947,0.0,-5.380000114440918,-0.35895150899887085,0.0,-166.77999877929688,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.416306,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.436483,-0.6948933005332947,0.0,-2.690000057220459,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.456291,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.476468,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.496490,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.516274,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.536623,-0.6948933005332947,0.0,-2.690000057220459,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.564525,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.576491,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.596462,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.616520,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-645.6000366210938,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8114758729934692,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.636605,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-653.6700439453125,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.656543,-0.6948933005332947,0.0,-5.380000114440918,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-653.6700439453125,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.682219,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-650.9800415039062,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.696733,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-650.9800415039062,-0.575242817401886,0.0,390.0500183105469,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.757744,-3.1415927410125732,0.0,0.0,-3.1415927410125732,0.0,0.0,-3.1415927410125732,0.0,0.0,-3.1415927410125732,0.0,0.0,-3.1415927410125732,0.0,0.0,-3.1415927410125732,0.0,0.0,0.028495613485574722,0.0,0.0,-0.028495613485574722,0.0,0.0
0.782158,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-650.9800415039062,-0.575242817401886,0.0,395.4300231933594,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
0.796881,-0.6948933005332947,0.0,0.0,-0.35895150899887085,0.0,-169.47000122070312,0.39269909262657166,0.0,-650.9800415039062,-0.575242817401886,0.0,395.4300231933594,0.07363107800483704,0.0,-40.35000228881836,0.8084079027175903,0.0,0.0,0.05744139105081558,0.0,0.0,-0.05744139105081558,0.0,0.0
