time,waist_pos,waist_vel,waist_effort,shoulder_pos,shoulder_vel,shoulder_effort,elbow_pos,elbow_vel,elbow_effort,forearm_roll_pos,forearm_roll_vel,forearm_roll_effort,wrist_angle_pos,wrist_angle_vel,wrist_angle_effort,wrist_rotate_pos,wrist_rotate_vel,wrist_rotate_effort,left_finger_pos,left_finger_vel,left_finger_effort,right_finger_pos,right_finger_vel,right_finger_effort,recv_time
0.000000,-0.006135923322290182,0.0,129.1199951171875,-1.8668546676635742,0.0,347.010009765625,1.543184757232666,0.0,123.74000549316406,-0.02761165425181389,0.0,632.1500244140625,0.7900001406669617,0.0,169.47000122070312,-0.003067961661145091,0.0,45.72999954223633,0.028630919754505157,0.0,0.0,-0.028630919754505157,0.0,0.0,0.000000
0.004974,-0.006135923322290182,0.0,121.05000305175781,-1.8668546676635742,0.0,347.010009765625,1.543184757232666,0.0,129.1199951171875,-0.02761165425181389,0.0,632.1500244140625,0.7915341258049011,0.0,180.23001098632812,-0.003067961661145091,0.0,45.72999954223633,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.000776
0.009968,-0.006135923322290182,0.0,129.1199951171875,-1.8653206825256348,0.0,352.3900146484375,1.5447187423706055,0.0,126.43000030517578,-0.02761165425181389,0.0,634.8400268554688,0.7900001406669617,0.0,174.85000610351562,-0.003067961661145091,0.0,45.72999954223633,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.001024
0.015016,-0.006135923322290182,0.0,129.1199951171875,-1.8653206825256348,0.0,338.94000244140625,1.543184757232666,0.0,126.43000030517578,-0.02761165425181389,0.0,626.77001953125,0.7915341258049011,0.0,174.85000610351562,-0.003067961661145091,0.0,45.72999954223633,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.001263
0.019956,-0.006135923322290182,0.0,123.74000549316406,-1.8668546676635742,0.0,347.010009765625,1.543184757232666,0.0,126.43000030517578,-0.02761165425181389,0.0,626.77001953125,0.7900001406669617,0.0,177.54000854492188,-0.003067961661145091,0.0,45.72999954223633,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.005261
0.024976,-0.006135923322290182,0.0,123.74000549316406,-1.8668546676635742,0.0,344.32000732421875,1.543184757232666,0.0,129.1199951171875,-0.02761165425181389,0.0,626.77001953125,0.7915341258049011,0.0,172.16000366210938,-0.003067961661145091,0.0,48.42000198364258,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.010299
0.029961,-0.006135923322290182,0.0,129.1199951171875,-1.8668546676635742,0.0,352.3900146484375,1.543184757232666,0.0,123.74000549316406,-0.02761165425181389,0.0,626.77001953125,0.7915341258049011,0.0,180.23001098632812,-0.003067961661145091,0.0,45.72999954223633,0.028630919754505157,0.0,0.0,-0.028630919754505157,0.0,0.0,0.015368
0.034988,-0.006135923322290182,0.0,131.80999755859375,-1.8653206825256348,0.0,347.010009765625,1.543184757232666,0.0,121.05000305175781,-0.02761165425181389,0.0,626.77001953125,0.7900001406669617,0.0,182.9199981689453,-0.003067961661145091,0.0,45.72999954223633,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.020586
0.039958,-0.006135923322290182,0.0,131.80999755859375,-1.8668546676635742,0.0,336.25,1.543184757232666,0.0,121.05000305175781,-0.02761165425181389,0.0,632.1500244140625,0.7915341258049011,0.0,182.9199981689453,-0.003067961661145091,0.0,45.72999954223633,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.025365
0.045028,-0.006135923322290182,0.0,118.36000061035156,-1.8668546676635742,0.0,338.94000244140625,1.5447187423706055,0.0,129.1199951171875,-0.02761165425181389,0.0,626.77001953125,0.7915341258049011,0.0,193.6800079345703,-0.003067961661145091,0.0,45.72999954223633,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.030816
0.049987,-0.006135923322290182,0.0,123.74000549316406,-1.8668546676635742,0.0,344.32000732421875,1.543184757232666,0.0,126.43000030517578,-0.02761165425181389,0.0,626.77001953125,0.7900001406669617,0.0,172.16000366210938,-0.003067961661145091,0.0,45.72999954223633,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.035302
0.054961,-0.006135923322290182,0.0,129.1199951171875,-1.8668546676635742,0.0,341.6300048828125,1.543184757232666,0.0,126.43000030517578,-0.02761165425181389,0.0,626.77001953125,0.7915341258049011,0.0,169.47000122070312,-0.003067961661145091,0.0,45.72999954223633,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.040269
0.059988,-0.006135923322290182,0.0,129.1199951171875,-1.8653206825256348,0.0,341.6300048828125,1.543184757232666,0.0,121.05000305175781,-0.02761165425181389,0.0,626.77001953125,0.7915341258049011,0.0,180.23001098632812,-0.003067961661145091,0.0,45.72999954223633,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.045814
0.064961,-0.006135923322290182,0.0,129.1199951171875,-1.8653206825256348,0.0,344.32000732421875,1.543184757232666,0.0,121.05000305175781,-0.02761165425181389,0.0,626.77001953125,0.7915341258049011,0.0,172.16000366210938,-0.003067961661145091,0.0,45.72999954223633,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.050428
0.069977,-0.006135923322290182,0.0,129.1199951171875,-1.8668546676635742,0.0,333.55999755859375,1.543184757232666,0.0,121.05000305175781,-0.02761165425181389,0.0,629.4600219726562,0.7900001406669617,0.0,174.85000610351562,-0.003067961661145091,0.0,48.42000198364258,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.055529
0.074956,-0.006135923322290182,0.0,131.80999755859375,-1.8653206825256348,0.0,338.94000244140625,1.543184757232666,0.0,118.36000061035156,-0.02761165425181389,0.0,626.77001953125,0.7900001406669617,0.0,169.47000122070312,-0.003067961661145091,0.0,43.040000915527344,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.060363
0.079983,-0.006135923322290182,0.0,118.36000061035156,-1.8668546676635742,0.0,338.94000244140625,1.543184757232666,0.0,129.1199951171875,-0.02761165425181389,0.0,632.1500244140625,0.7915341258049011,0.0,180.23001098632812,-0.003067961661145091,0.0,45.72999954223633,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.065572
0.084947,-0.006135923322290182,0.0,126.43000030517578,-1.8668546676635742,0.0,347.010009765625,1.543184757232666,0.0,126.43000030517578,-0.02761165425181389,0.0,629.4600219726562,0.7915341258049011,0.0,177.54000854492188,-0.003067961661145091,0.0,45.72999954223633,0.028630919754505157,0.0,0.0,-0.028630919754505157,0.0,0.0,0.070284
0.089940,-0.006135923322290182,0.0,123.74000549316406,-1.8653206825256348,0.0,344.32000732421875,1.543184757232666,0.0,126.43000030517578,-0.02761165425181389,0.0,632.1500244140625,0.7915341258049011,0.0,169.47000122070312,-0.003067961661145091,0.0,45.72999954223633,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.075249
0.095027,-0.006135923322290182,0.0,129.1199951171875,-1.8653206825256348,0.0,347.010009765625,1.543184757232666,0.0,123.74000549316406,-0.02761165425181389,0.0,626.77001953125,0.7915341258049011,0.0,174.85000610351562,-0.003067961661145091,0.0,45.72999954223633,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.080786
0.099986,-0.006135923322290182,0.0,129.1199951171875,-1.8653206825256348,0.0,344.32000732421875,1.543184757232666,0.0,126.43000030517578,-0.02761165425181389,0.0,632.1500244140625,0.7900001406669617,0.0,174.85000610351562,-0.003067961661145091,0.0,45.72999954223633,0.028630919754505157,0.0,0.0,-0.028630919754505157,0.0,0.0,0.085528
0.104949,-0.006135923322290182,0.0,129.1199951171875,-1.8668546676635742,0.0,341.6300048828125,1.543184757232666,0.0,126.43000030517578,-0.02761165425181389,0.0,626.77001953125,0.7915341258049011,0.0,174.85000610351562,-0.003067961661145091,0.0,45.72999954223633,0.02866484597325325,0.0,0.0,-0.02866484597325325,0.0,0.0,0.090279
0.109992,-0.006135923322290182,0.0,129.1199951171875,-1.8668546676635742,0.0,347.010009765625,1.5447187423706055,0.0,121.05000305175781,-0.02761165425181389,0.0,629.4600219726562,0.7915341258049011,0.0,182.9199981689453,-0.003067961661145091,0.0,45.72999954223633,0.028630919754505157,0.0,0.0,-0.028630919754505157,0.0,0.0,0.095618
