time,waist_pos,waist_vel,waist_effort,shoulder_pos,shoulder_vel,shoulder_effort,elbow_pos,elbow_vel,elbow_effort,forearm_roll_pos,forearm_roll_vel,forearm_roll_effort,wrist_angle_pos,wrist_angle_vel,wrist_angle_effort,wrist_rotate_pos,wrist_rotate_vel,wrist_rotate_effort,left_finger_pos,left_finger_vel,left_finger_effort,right_finger_pos,right_finger_vel,right_finger_effort
0.000000,-0.0015339808305725455,0.0,0.0,-1.8622527122497559,0.0,255.5500030517578,1.56159245967865,0.0,-301.2799987792969,-0.0076699042692780495,0.0,166.77999877929688,0.8022719621658325,0.0,-48.42000198364258,-0.0015339808305725455,0.0,0.0,0.026420708745718002,0.0,0.0,-0.026420708745718002,0.0,0.0
0.033169,-0.0015339808305725455,0.0,0.0,-1.8622527122497559,0.0,252.86000061035156,1.56159245967865,0.0,-287.83001708984375,-0.0076699042692780495,0.0,166.77999877929688,0.8022719621658325,0.0,-48.42000198364258,-0.0015339808305725455,0.0,0.0,0.026420708745718002,0.0,0.0,-0.026420708745718002,0.0,0.0
0.071627,-0.0015339808305725455,0.0,0.0,-1.8622527122497559,0.0,255.5500030517578,1.5600584745407104,0.0,-295.8999938964844,-0.0076699042692780495,0.0,169.47000122070312,0.8022719621658325,0.0,-56.4900016784668,0.0,0.0,0.0,0.026389680802822113,0.0,0.0,-0.026389680802822113,0.0,0.0
0.110886,-0.0015339808305725455,0.0,0.0,-1.8622527122497559,0.0,255.5500030517578,1.5600584745407104,0.0,-290.52001953125,-0.0076699042692780495,0.0,166.77999877929688,0.8022719621658325,0.0,-48.42000198364258,-0.0015339808305725455,0.0,0.0,0.026420708745718002,0.0,0.0,-0.026420708745718002,0.0,0.0
0.149928,-0.0015339808305725455,0.0,0.0,-1.8622527122497559,0.0,255.5500030517578,1.56159245967865,0.0,-298.5899963378906,-0.0076699042692780495,0.0,166.77999877929688,0.8022719621658325,0.0,-48.42000198364258,-0.0015339808305725455,0.0,0.0,0.026420708745718002,0.0,0.0,-0.026420708745718002,0.0,0.0
0.189463,-0.0015339808305725455,0.0,0.0,-1.8622527122497559,0.0,255.5500030517578,1.56159245967865,0.0,-301.2799987792969,-0.0076699042692780495,0.0,166.77999877929688,0.803805947303772,0.0,-64.55999755859375,-0.0015339808305725455,0.0,0.0,0.026420708745718002,0.0,0.0,-0.026420708745718002,0.0,0.0
0.228250,-0.0015339808305725455,0.0,0.0,-1.8607187271118164,0.0,252.86000061035156,1.5600584745407104,0.0,-282.45001220703125,-0.0076699042692780495,0.0,166.77999877929688,0.8022719621658325,0.0,-56.4900016784668,-0.0015339808305725455,0.0,0.0,0.026420708745718002,0.0,0.0,-0.026420708745718002,0.0,0.0
0.267949,-0.0015339808305725455,0.0,0.0,-1.8622527122497559,0.0,255.5500030517578,1.5600584745407104,0.0,-309.3500061035156,-0.0076699042692780495,0.0,166.77999877929688,0.8022719621658325,0.0,-48.42000198364258,-0.0015339808305725455,0.0,0.0,0.026420708745718002,0.0,0.0,-0.026420708745718002,0.0,0.0
0.306653,-0.0015339808305725455,0.0,0.0,-1.8622527122497559,0.0,252.86000061035156,1.5600584745407104,0.0,-285.1400146484375,-0.0076699042692780495,0.0,166.77999877929688,0.8022719621658325,0.0,-48.42000198364258,-0.0015339808305725455,0.0,0.0,0.026389680802822113,0.0,0.0,-0.026389680802822113,0.0,0.0
0.345733,-0.0015339808305725455,0.0,0.0,-1.8622527122497559,0.0,255.5500030517578,1.56159245967865,0.0,-295.8999938964844,-0.0076699042692780495,0.0,166.77999877929688,0.8022719621658325,0.0,-51.11000061035156,-0.0015339808305725455,0.0,0.0,0.026420708745718002,0.0,0.0,-0.026420708745718002,0.0,0.0
